Commodity,Edge,Flow,New Capacity,Switched,Changed Capacity
Methane,"('ME_LNG_exp', 'NL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'CN_LNG_imp')",737432.8016467615,0.0,1.0,9999999.0
Methane,"('AF_LNG_exp', 'TR_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'LT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'LT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'PT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('EG_LNG_exp', 'EE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'AS_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'IT_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'JS_LNG_imp')",198733.9401997356,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'AS_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('QA_LNG_exp', 'HR_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'BE_LNG_imp')",111378.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'PL_LNG_imp')",60574.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'SA_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'FR_LNG_imp')",322409.9999999999,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'PL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'EL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('IM_LNG_exp', 'FR_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'LV_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'EG_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'FI_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'EE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'FI_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('RU_LNG_exp', 'NL_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('ME_LNG_exp', 'DE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('USA_LNG_exp', 'UK_LNG_imp')",81491.87295725508,0.0,1.0,9999999.0
Methane,"('AU_LNG_exp', 'EE_LNG_imp')",0.0,0.0,1.0,9999999.0
Methane,"('TT_LNG_exp', 'DE_LNG_imp')",0.0,0.0,1.0,9999999.0
